setLabel,G/K Minimal Pairs - Initial G,G/K Minimal Pairs - Initial K,G/K Minimal Pairs - Medial G,G/K Minimal Pairs - Medial K,G/K Minimal Pairs - Final G,G/K Minimal Pairs - Final K,F/V Minimal Pairs - Initial F,F/V Minimal Pairs - Initial V,F/V Minimal Pairs - Medial F,F/V Minimal Pairs - Medial V,F/V Minimal Pairs - Final F,F/V Minimal Pairs - Final V,S/Z Minimal Pairs - Initial S,S/Z Minimal Pairs - Initial Z,S/Z Minimal Pairs - Medial S,S/Z Minimal Pairs - Medial Z,S/Z Minimal Pairs - Final S,S/Z Minimal Pairs - Final Z,F/P Minimal Pairs - Initial,F/P Minimal Pairs - Initial,F/P Minimal Pairs - Medial,F/P Minimal Pairs - Medial,F/P Minimal Pairs - Medial,F/P Minimal Pairs - Medial
prompt,Which word has the /g/ sound?,Which word has the /k/ sound?,Which word has the /g/ sound?,Which word has the /k/ sound?,Which word has the /g/ sound? ,Which word has the /k/ sound? ,Which word has the /f/ sound?,Which word has the /v/ sound?,Which word has the /f/ sound?,Which word has the /v/ sound?,Which word has the /f/ sound? ,Which word has the /v/ sound?,Which word has the /s/ sound?,Which word has the /z/ sound?,Which word has the /s/ sound?,Which word has the /z/ sound?,Which word has the /s/ sound?,Which word has the /z/ sound?,Which word has the /f/ sound?,Which word has the /p/ sound?,Which word has the /f/ sound?,Which word has the /p/ sound?,Which word has the /f/ sound?,Which word has the /p/ sound?
targetSound,g,k,g,k,g,k,f,v,f,v,f,v,s,z,s,z,s,z,f,p,f,p,f,p
contrastSound,k,g,k,g,k,g,v,f,v,f,v,f,z,s,z,s,z,s,p,f,p,f,p,f
folder,G:K Minimal Pairs - Initial,G:K Minimal Pairs - Initial,G:K Minimal Pairs - Medial,G:K Minimal Pairs - Medial,G:K Minimal Pairs - Final,G:K Minimal Pairs - Final,F:V Minimal Pairs - Initial ,F:V Minimal Pairs - Initial ,F:V Minimal Pairs - Medial,F:V Minimal Pairs - Medial,F:V Minimal Pairs - Final,F:V Minimal Pairs - Final,S:Z Minimal Pairs - Initial,S:Z Minimal Pairs - Initial,S:Z Minimal Pairs - Medial,S:Z Minimal Pairs - Medial,S:Z Minimal Pairs - Final,S:Z Minimal Pairs - Final,F:P Minimal Pairs - Initial,F:P Minimal Pairs - Initial,F:P Minimal Pairs - Medial,F:P Minimal Pairs - Medial,F:P Minimal Pairs - Final,F:P Minimal Pairs - Final
word1,card/guard,card/guard,hacker/hugger,hacker/hugger,back/bag,back/bag,fan/van,fan/van,office/oval,office/oval,leaf/leave,leaf/leave,sip/zip,sip/zip,fussy/fuzzy,fussy/fuzzy,ice/eyes,ice/eyes,fan/pan,fan/pan,coffee/copy,coffee/copy,cough/cop,cough/cop
word2,cold/gold,cold/gold,soccer/soggy,soccer/soggy,pick/pig,pick/pig,fat/vat,fat/vat,waffle/wavy,waffle/wavy,calf/cave,calf/cave,Sue/zoo,Sue/zoo,muscle/muzzle,muscle/muzzle,bus/buzz,bus/buzz,fat/pat,fat/pat,muffin/puppet,muffin/muppet,puff/pup,puff/pup
word3,coat/goat,coat/goat,wagon/wacky,wagon/wacky,clock/clog,clock/clog,fine/vine,fine/vine,traffic/travel,traffic/travel,safe/save,safe/save,sink/zinc,sink/zinc,racer/razor,racer/razor,peace/peas,peace/peas,fig/pig,fig/pig,sofa/soapy,sofa/soapy,stuff/stub,stuff/stub
word4,cap/gap,cap/gap,locker/logger,locker/logger,dock/dog,dock/dog,fail/veil,fail/veil,raffle/raven,raffle/raven,surf/serve,surf/serve,sack/Zack,sack/Zack,lacey/lazy,lacey/lazy,race/raise,race/raise,fin/pin,fin/pin,refuse/repair,refuse/repair,half/tap,half/tap
word5,coal/goal,coal/goal,bacon/bagel,bacon/bagel,duck/Doug,duck/Doug,file/vial,file/vial,safety/savings,safety/savings,roof/reef,roof/reef,sap/zap,sap/zap,listen/lizard,listen/lizard,loose/lose,loose/lose,fit/pit,fit/pit,afford/a port,afford/a port,leaf/leap,leaf/leap
