phonological_process,process_category,sound_a,sound_b,position,folder_name,folder_name_slash
Stopping,Substitution,J,K,Initial,J-K Minimal Pairs - Initial,J/K Minimal Pairs - Initial
Stopping,Substitution,J,K,Medial,J-K Minimal Pairs - Medial,J/K Minimal Pairs - Medial
Stopping,Substitution,J,P,Final,J-P Minimal Pairs - Final,J/P Minimal Pairs - Final
Stopping,Substitution,J,P,Initial,J-P Minimal Pairs - Initial,J/P Minimal Pairs - Initial
Stopping,Substitution,J,P,Medial,J-P Minimal Pairs - Medial,J/P Minimal Pairs - Medial
Stopping,Substitution,J,T,Final,J-T Minimal Pairs - Final,J/T Minimal Pairs - Final
Stopping,Substitution,J,T,Initial,J-T Minimal Pairs - Initial,J/T Minimal Pairs - Initial
Stopping,Substitution,J,T,Medial,J-T Minimal Pairs - Medial,J/T Minimal Pairs - Medial
Deaffrication,Substitution,J,Z,Final,J-Z Minimal Pairs - Final,J/Z Minimal Pairs - Final
Deaffrication,Substitution,J,Z,Initial,J-Z Minimal Pairs - Initial,J/Z Minimal Pairs - Initial
Deaffrication,Substitution,J,Z,Medial,J-Z Minimal Pairs - Medial,J/Z Minimal Pairs - Medial
Final Consonant Deletion,Syllable Structure,K,(deleted),Final,Final K Minimal Pairs - Final,K/(deleted) Minimal Pairs - Final
Initial Consonant Deletion,Syllable Structure,K,(deleted),Initial,Initial K Minimal Pairs - Initial,K/(deleted) Minimal Pairs - Initial
Prevocalic Voicing,Assimilation,K,G,Initial,K-G Minimal Pairs - Initial,K/G Minimal Pairs - Initial
Fronting,Substitution,K,T,Final,K-T Minimal Pairs - Final,K/T Minimal Pairs - Final
Fronting,Substitution,K,T,Initial,K-T Minimal Pairs - Initial,K/T Minimal Pairs - Initial
Fronting,Substitution,K,T,Medial,K-T Minimal Pairs - Medial,K/T Minimal Pairs - Medial
Cluster Reduction,Syllable Structure,KL,K,Initial,KL Cluster Minimal Pairs - Initial,KL Cluster Minimal Pairs - Initial
